;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_2H_2PP_2Co_10.data;OPT;21;1020;1020;439;50.6078;49.9855;0.619681;1026;3773;0
Inst_2P_10C_2H_2PP_2Co_11.data;OPT;21;898;898;319;112.485;112.098;0.384837;1206;3134;0
Inst_2P_10C_2H_2PP_2Co_13.data;OPT;16;1254;1254;409;4.42607;4.25873;0.164699;755;2294;0
Inst_2P_10C_2H_2PP_2Co_14.data;OPT;19;1687;1687;666;14.3298;14.076;0.250617;944;2942;0
Inst_2P_10C_2H_2PP_2Co_15.data;OPT;20;1255;1255;523;5.56165;5.1718;0.386435;610;2810;0
Inst_2P_10C_2H_2PP_2Co_17.data;OPT;17;1217;1217;468;12.6213;12.1467;0.4725;1292;3185;0
Inst_2P_10C_2H_2PP_2Co_1.data;OPT;18;1124;1124;404;5.55703;5.17479;0.378903;660;2783;0
Inst_2P_10C_2H_2PP_2Co_2.data;OPT;17;1549;1549;579;5.35379;5.15093;0.199863;564;2454;0
Inst_2P_10C_2H_2PP_2Co_5.data;OPT;16;1177;1177;497;96.4816;96.1094;0.370253;1116;2910;0
Inst_2P_10C_2H_2PP_2Co_7.data;OPT;19;1179;1179;390;12.0316;11.4461;0.582132;1332;3556;0
