;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_2H_2PP_2Co_10.data;UNK;;1170;792;;14384.5;;;;;0.323077
Inst_2P_10C_2H_2PP_2Co_11.data;FEAS;;806;637;;14385.9;;;;;0.209677
Inst_2P_10C_2H_2PP_2Co_1.data;UNK;;1552;1180;;14383.9;;;;;0.239691
Inst_2P_10C_2H_2PP_2Co_2.data;FEAS;;1228;1046;;14387;;;;;0.148208
Inst_2P_10C_2H_2PP_2Co_3.data;UNK;;1749;1183;;14387.4;;;;;0.323613
Inst_2P_10C_2H_2PP_2Co_4.data;FEAS;;1400;1169;;14389.9;;;;;0.165
Inst_2P_10C_2H_2PP_2Co_5.data;FEAS;;1314;1078;;14388.2;;;;;0.179604
Inst_2P_10C_2H_2PP_2Co_6.data;OPT;;1001;1001;;8060.92;;;;;0
Inst_2P_10C_2H_2PP_2Co_7.data;FEAS;;1267;1178;;14386.8;;;;;0.0702447
Inst_2P_10C_2H_2PP_2Co_9.data;FEAS;;1334;1141;;14389.2;;;;;0.144678
