;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_1H_2PP_2Co_10.data;;23;1618;1578;654;3601.03;3563.78;37.2226;12630;14422;0.0247219
Inst_2P_20C_1H_2PP_2Co_11.data;OPT;26;2547;2547;1157;2008.95;1964.86;44.0311;10507;12820;0
Inst_2P_20C_1H_2PP_2Co_12.data;OPT;22;3194;3194;1700;345.059;301.993;43.0528;12140;8751;0
Inst_2P_20C_1H_2PP_2Co_13.data;OPT;21;2778;2778;1425;1031.54;994.993;36.531;8280;9927;0
Inst_2P_20C_1H_2PP_2Co_14.data;OPT;25;3002;3002;1547;174.406;128.716;45.6784;8112;8782;0
Inst_2P_20C_1H_2PP_2Co_18.data;OPT;22;2388;2388;1039;2600.37;2569.53;30.824;12426;10923;0
Inst_2P_20C_1H_2PP_2Co_2.data;OPT;23;2138;2138;897;1259.55;1229.54;30.0043;13400;9745;0
Inst_2P_20C_1H_2PP_2Co_4.data;OPT;20;2481;2481;1031;46.7131;41.4582;5.24453;7174;7452;0
Inst_2P_20C_1H_2PP_2Co_5.data;;19;2034;1926;1017;3601.05;3564.51;36.513;13290;12276;0.0530973
Inst_2P_20C_1H_2PP_2Co_7.data;OPT;34;2427;2427;1121;1879.29;1830.65;48.6294;7974;8594;0
