;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_1H_2PP_3Co_10.data;;;;1242;;;;;;;
Inst_6P_20C_1H_2PP_3Co_11.data;;;;1445;;;;;;;
Inst_6P_20C_1H_2PP_3Co_12.data;;;;1278;;;;;;;
Inst_6P_20C_1H_2PP_3Co_1.data;;;;1420;;;;;;;
Inst_6P_20C_1H_2PP_3Co_2.data;;;;1084;;;;;;;
Inst_6P_20C_1H_2PP_3Co_3.data;;;;1119;;;;;;;
Inst_6P_20C_1H_2PP_3Co_4.data;;;;1442;;;;;;;
Inst_6P_20C_1H_2PP_3Co_5.data;;;;1709;;;;;;;
Inst_6P_20C_1H_2PP_3Co_8.data;;;;1713;;;;;;;
Inst_6P_20C_1H_2PP_3Co_9.data;;;;1287;;;;;;;
