;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;126;2071;1686;1104;3601.07;2591.05;1009.96;16212;33671;0.185901
Inst_2P_30C_1H_2PP_2Co_1.data;;151;2286;1928;1180;4215.12;1716.97;2498.08;17384;35142;0.156605
Inst_2P_30C_1H_2PP_2Co_2.data;;236;2732;2254;1421;3601.37;2505.96;1095.29;25624;49370;0.174963
Inst_2P_30C_1H_2PP_2Co_3.data;;88;2295;2162;1231;3601.03;3092.18;508.827;6240;10714;0.0579521
Inst_2P_30C_1H_2PP_2Co_4.data;;174;2558;1867;1202;3601.13;2780.2;820.811;41960;60915;0.270133
Inst_2P_30C_1H_2PP_2Co_5.data;;186;2845;2411;1539;3601.14;2944.75;656.301;36554;56118;0.152548
Inst_2P_30C_1H_2PP_2Co_6.data;;265;3537;2969;2251;3611.07;2515.12;1095.84;19860;49303;0.160588
Inst_2P_30C_1H_2PP_2Co_7.data;;138;2599;2280;1412;3601.1;3023.59;577.448;18672;37712;0.12274
Inst_2P_30C_1H_2PP_2Co_8.data;;106;2314;2015;1104;3601.05;3336.51;264.496;6943;22188;0.129213
Inst_2P_30C_1H_2PP_2Co_9.data;;154;2225;2025;1190;3601.07;2647.48;953.527;20025;41098;0.0898876
