;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;51;2610;1865;1380;3601.1;2966.65;634.372;16260;45423;0.285441
Inst_2P_30C_2H_2PP_2Co_1.data;;139;3572;2667;1903;3601.15;3239.94;361.115;31677;46774;0.253359
Inst_2P_30C_2H_2PP_2Co_2.data;;83;2996;1666;1251;3601.35;3332.08;269.176;21867;44907;0.443925
Inst_2P_30C_2H_2PP_2Co_3.data;;70;3166;2528;1858;3601.16;3055.12;545.912;18645;49931;0.201516
Inst_2P_30C_2H_2PP_2Co_4.data;;65;3120;2680;1873;3601.12;2904.67;696.361;28138;66034;0.141026
Inst_2P_30C_2H_2PP_2Co_5.data;;127;3391;2201;1481;3601.12;3286.9;314.129;29460;42412;0.350929
Inst_2P_30C_2H_2PP_2Co_6.data;;61;3271;2182;1489;3601.13;3328.01;273.017;19977;43080;0.332926
Inst_2P_30C_2H_2PP_2Co_7.data;;48;2699;2014;1342;3601.15;2942.01;659.023;18853;48107;0.253798
Inst_2P_30C_2H_2PP_2Co_8.data;;59;3166;2462;1790;3601.15;3091.79;509.254;18785;52226;0.222363
Inst_2P_30C_2H_2PP_2Co_9.data;;68;3073;2337;1730;3601.14;2931.72;669.325;25467;50516;0.239505
