;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_2H_2PP_2Co_10.data;;46;10000;1473;980;3601.01;3565.07;35.9315;1890;2161;0.8527
Inst_4P_10C_2H_2PP_2Co_1.data;;89;3195;1368;808;3601.02;3597.02;3.98792;2700;4776;0.571831
Inst_4P_10C_2H_2PP_2Co_2.data;;63;2701;1502;888;3601.01;3598.34;2.66387;1815;3700;0.44391
Inst_4P_10C_2H_2PP_2Co_3.data;;75;1530;1382;662;3601.01;3598.63;2.37442;1605;5109;0.096732
Inst_4P_10C_2H_2PP_2Co_4.data;;50;1625;1314;684;3601.01;3599.29;1.71023;1335;3392;0.191385
Inst_4P_10C_2H_2PP_2Co_5.data;;37;10000;1663;1050;3601.01;3598.88;2.12299;1260;3319;0.8337
Inst_4P_10C_2H_2PP_2Co_6.data;;55;10000;1760;1027;3601.02;3598.28;2.72428;1935;4548;0.824
Inst_4P_10C_2H_2PP_2Co_7.data;;109;2204;1821;1057;3601.03;3593.17;7.8431;3525;8986;0.173775
Inst_4P_10C_2H_2PP_2Co_8.data;;63;2839;1478;745;3602.93;3599.52;3.40023;2045;4677;0.479394
Inst_4P_10C_2H_2PP_2Co_9.data;;47;10000;2397;1579;3601.02;3598.54;2.47147;2100;4354;0.7603
