;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_1H_2PP_2Co_10.data;;71;4111;3019;2124;3601.03;3563.17;37.8419;6048;9830;0.265629
Inst_4P_30C_1H_2PP_2Co_11.data;;20;4185;3412;2544;3601.02;3568.26;32.7537;3968;7363;0.184707
Inst_4P_30C_1H_2PP_2Co_12.data;;52;4467;3630;2669;3601.03;3529.46;71.5521;8055;8595;0.187374
Inst_4P_30C_1H_2PP_2Co_13.data;;64;5807;4573;3635;3601.04;3557.46;43.5573;9824;6271;0.212502
Inst_4P_30C_1H_2PP_2Co_1.data;;106;4315;3410;2456;3601.04;3534.49;66.525;9319;8265;0.209733
Inst_4P_30C_1H_2PP_2Co_2.data;;16;4168;3391;2535;3601.03;3460.51;140.508;5971;9029;0.18642
Inst_4P_30C_1H_2PP_2Co_3.data;;23;3201;2673;1751;3601.03;3539.76;61.2481;5072;9392;0.164948
Inst_4P_30C_1H_2PP_2Co_4.data;;20;3694;2835;1984;3601.03;3509.22;91.7985;6555;9644;0.232539
Inst_4P_30C_1H_2PP_2Co_7.data;;24;4015;3372;2370;3601.03;3502.79;98.2221;8391;9368;0.160149
Inst_4P_30C_1H_2PP_2Co_9.data;;54;4423;3532;2550;3601.04;3550.08;50.9443;7962;8875;0.201447
