;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_1H_2PP_3Co_10.data;;260;4462;3647;2873;3601.08;1684.3;1916.71;11976;25314;0.182654
Inst_6P_30C_1H_2PP_3Co_12.data;;142;3786;2751;1981;3601.06;2881.85;719.164;9596;22813;0.273376
Inst_6P_30C_1H_2PP_3Co_13.data;;208;3508;2453;1818;3601.1;2115.01;1486.01;11927;19814;0.300741
Inst_6P_30C_1H_2PP_3Co_14.data;;172;3667;2960;2345;3603.73;2530.82;1072.84;9842;29925;0.192801
Inst_6P_30C_1H_2PP_3Co_1.data;;249;3418;2687;2002;3601.1;3165.47;435.539;14510;40075;0.213868
Inst_6P_30C_1H_2PP_3Co_2.data;;256;4326;3479;2728;3629.14;2438.46;1190.6;15030;25007;0.195793
Inst_6P_30C_1H_2PP_3Co_4.data;;161;4301;3302;2193;3601.08;3242.1;358.923;12652;29953;0.232272
Inst_6P_30C_1H_2PP_3Co_6.data;;177;3570;2778;1919;3601.07;2607.91;993.096;11027;34291;0.221849
Inst_6P_30C_1H_2PP_3Co_7.data;;144;3523;2654;1872;3614.13;1485.13;2128.94;9604;21689;0.246665
Inst_6P_30C_1H_2PP_3Co_8.data;;124;3597;2624;1839;3601.05;3380.07;220.944;8569;19864;0.270503
